Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
37,US-2014-100012,01/17/2014,01/19/2014,First Class,JH-10394,Jeffrey Hill,Corporate,United States,Saginaw,Michigan,94278,Central,OFF-AR-10003056,Office Supplies,Art,Newell 341,37.7,3,0.0,12.6685
38,US-2014-100012,01/17/2014,01/22/2014,Standard Class,JC-10172,John Carter,Corporate,United States,Detroit,Michigan,53851,Central,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,211.49,2,0.3,19.371
39,US-2014-100012,01/17/2014,01/22/2014,Standard Class,AT-10039,Andrew Thompson,Consumer,United States,Buffalo,New York,49380,East,FUR-CH-10003473,Furniture,Chairs,Harbour Creations 67200 Series Folding Chair,4665.34,5,0.0,898.9512
40,US-2014-100013,01/18/2014,01/24/2014,Standard Class,AH-10639,Ashley Hill,Corporate,United States,Chester,Pennsylvania,30674,East,OFF-AR-10002833,Office Supplies,Art,Newell 322,135.56,2,0.2,31.361
41,US-2014-100013,01/18/2014,01/25/2014,Standard Class,NL-10187,Nicole Lee,Consumer,United States,Portland,Oregon,44336,West,FUR-CH-10003473,Furniture,Chairs,Harbour Creations 67200 Series Folding Chair,138.15,1,0.0,31.2186
42,US-2014-100013,01/18/2014,01/19/2014,Same Day,LM-10298,Larry Murphy,Consumer,United States,Saginaw,Michigan,77050,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,121.08,7,0.0,31.3873
43,CA-2014-100014,01/19/2014,01/25/2014,Standard Class,MT-10556,Margaret Torres,Consumer,United States,Newark,Delaware,61828,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",27.94,1,0.0,11.1303
44,CA-2014-100014,01/20/2014,01/25/2014,Standard Class,GJ-10516,George Johnson,Corporate,United States,Hamilton,Ohio,83905,East,FUR-CH-10003473,Furniture,Chairs,Harbour Creations 67200 Series Folding Chair,3994.05,4,0.0,863.0979
45,CA-2014-100014,01/21/2014,01/24/2014,Second Class,CY-10275,Charles Young,Corporate,United States,Bristol,Tennessee,19782,South,TEC-AC-10001814,Technology,Accessories,Plantronics Savi W720 Wireless Headset System,730.85,3,0.0,210.4086
46,AA-2014-100015,01/22/2014,01/27/2014,Second Class,SE-10284,Stephanie Edwards,Consumer,United States,Detroit,Michigan,86904,Central,TEC-PH-10001354,Technology,Phones,Samsung Galaxy S7,1533.1,2,0.0,403.6311
47,AA-2014-100015,01/22/2014,01/27/2014,Standard Class,PL-10487,Patricia Lewis,Consumer,United States,Jackson,Michigan,83728,Central,TEC-MA-10004125,Technology,Machines,Motorola 56001 Telephone with Digital Answering,7034.91,3,0.1,819.5633
48,AA-2014-100015,01/22/2014,01/27/2014,Second Class,AH-10150,Amanda Hill,Consumer,United States,Troy,New York,69032,East,TEC-MA-10002412,Technology,Machines,Canon imageCLASS MF4770n Wireless Laser,10442.85,3,0.0,1083.203
49,CA-2014-100016,01/22/2014,01/25/2014,First Class,RH-10249,Ronald Hall,Consumer,United States,Warwick,Rhode Island,17388,East,OFF-AR-10002833,Office Supplies,Art,Newell 322,426.85,5,0.0,146.8583
50,CA-2014-100016,01/23/2014,01/30/2014,Standard Class,MY-10496,Melissa Young,Consumer,United States,Grand Rapids,Michigan,20019,Central,OFF-SU-10004590,Office Supplies,Supplies,Acco Pressboard Data Binder with Storage Hooks,57.99,4,0.0,13.5814
51,CA-2014-100016,01/23/2014,01/28/2014,Second Class,EW-10728,Elizabeth Williams,Corporate,United States,Jacksonville,Florida,52875,South,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,6314.91,2,0.0,884.8845
52,AA-2014-100017,01/23/2014,01/29/2014,Standard Class,ES-10015,Eric Stewart,Corporate,United States,Rockford,Illinois,39795,Central,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,529.45,1,0.15,-25.7907
53,AA-2014-100017,01/23/2014,01/30/2014,Standard Class,AR-10089,Ashley Roberts,Corporate,United States,Bristol,Tennessee,86255,South,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,43.25,5,0.6,-2.2708
54,AA-2014-100017,01/23/2014,01/23/2014,Same Day,BC-10324,Brenda Collins,Consumer,United States,Belleville,New Jersey,31123,East,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,185.77,4,0.1,40.2842
55,US-2014-100018,01/23/2014,01/29/2014,Standard Class,KG-10458,Karen Garcia,Consumer,United States,Houston,Texas,17816,Central,OFF-SU-10003703,Office Supplies,Supplies,Avery Hi-Liter EverBold Pen-Style Highlighter,15.3,1,0.2,2.0267
56,US-2014-100018,01/24/2014,01/29/2014,Standard Class,MM-10668,Margaret Miller,Corporate,United States,Bakersfield,California,19575,West,OFF-FA-10002544,Office Supplies,Fasteners,Acme Stainless Steel Scissors,36.84,2,0.0,11.8529
57,US-2014-100018,01/24/2014,01/31/2014,Standard Class,AJ-10258,Andrew Jones,Corporate,United States,Seattle,Washington,54572,West,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,2071.3,2,0.4,-186.4142
58,CA-2014-100019,01/24/2014,01/30/2014,Standard Class,JJ-10642,James Jackson,Consumer,United States,New Orleans,Louisiana,15944,South,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,30.25,2,0.1,9.2536
59,CA-2014-100019,01/25/2014,01/30/2014,Standard Class,MY-10731,Mary Young,Consumer,United States,Fresno,California,87632,West,OFF-AR-10000397,Office Supplies,Art,"BIC Brite Liner Highlighters, Assorted Colors",42.51,1,0.15,9.6872
60,CA-2014-100019,01/26/2014,02/01/2014,Standard Class,SL-10440,Scott Lewis,Consumer,United States,Roseville,California,31045,West,OFF-AP-10001028,Office Supplies,Appliances,Cuisinart Classic 12-Cup Coffeemaker,1613.43,4,0.15,62.26
61,US-2014-100020,01/26/2014,01/31/2014,Standard Class,KW-10677,Kimberly Wilson,Home Office,United States,Lakeville,Minnesota,86805,Central,OFF-ST-10002927,Office Supplies,Storage,Akro-Mils 09516 Super-Size AkroBins,49.56,2,0.0,10.9919
62,US-2014-100020,01/26/2014,02/01/2014,Standard Class,MA-10220,Mark Allen,Consumer,United States,Auburn,New York,99330,East,OFF-LA-10004099,Office Supplies,Labels,Avery Color Coding Labels,168.16,4,0.0,41.2952
63,US-2014-100020,01/26/2014,01/31/2014,Standard Class,HP-10165,Helen Phillips,Home Office,United States,Saint Paul,Minnesota,10177,Central,FUR-BO-10003396,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional Cherry",1320.9,3,0.3,-55.1591
64,AA-2014-100021,01/27/2014,02/03/2014,Standard Class,LM-10298,Larry Murphy,Consumer,United States,Tacoma,Washington,67832,West,FUR-FU-10002390,Furniture,Furnishings,Deflect-o DuraMat Chair Mat for Low Pile,294.66,4,0.6,-43.6413
65,AA-2014-100021,01/27/2014,02/02/2014,Standard Class,DT-10501,David Turner,Consumer,United States,Saint Petersburg,Florida,81500,South,OFF-AR-10001986,Office Supplies,Art,Sanford 52602 Liquid Accent Tank-Style Highlighters,533.14,8,0.1,160.9427
66,AA-2014-100021,01/27/2014,01/30/2014,Second Class,MT-10780,Margaret Turner,Corporate,United States,Springfield,Illinois,37634,Central,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,269.63,2,0.2,54.3384
67,CA-2014-100022,01/27/2014,01/29/2014,First Class,LR-10444,Linda Reed,Corporate,United States,Tampa,Florida,43453,South,OFF-BI-10004738,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,46.56,1,0.15,7.9803
68,CA-2014-100022,01/27/2014,02/03/2014,Standard Class,BK-10684,Brenda King,Consumer,United States,Wheeling,West Virginia,56791,East,OFF-AR-10003056,Office Supplies,Art,Newell 341,919.98,11,0.15,232.9419
69,CA-2014-100022,01/28/2014,02/02/2014,Standard Class,AH-10665,Angela Harris,Consumer,United States,Jacksonville,Florida,26652,South,FUR-FU-10001487,Furniture,Furnishings,Eldon Expressions Wood Desk Accessories,294.83,2,0.0,66.7603
70,US-2014-100023,01/28/2014,02/02/2014,Standard Class,NM-10500,Nicole Morris,Consumer,United States,Wilmington,North Carolina,36407,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,92.77,1,0.15,-4.76
71,US-2014-100023,01/28/2014,02/04/2014,Standard Class,EM-10030,Emma Miller,Consumer,United States,Warner Robins,Georgia,76760,South,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" Premium Diagonal Seam Envelopes",30.74,4,0.0,10.0586
72,US-2014-100023,01/29/2014,02/03/2014,Standard Class,WL-10588,William Lewis,Corporate,United States,Hackensack,New Jersey,95733,East,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,38.73,1,0.2,5.7726
73,CA-2014-100024,01/30/2014,02/04/2014,Standard Class,KM-10208,Kathleen Morgan,Consumer,United States,Norman,Oklahoma,34928,Central,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,100.46,1,0.0,4.7076
74,CA-2014-100024,01/30/2014,02/01/2014,First Class,SA-10513,Sandra Anderson,Consumer,United States,Vancouver,Washington,40360,West,FUR-FU-10002390,Furniture,Furnishings,Deflect-o DuraMat Chair Mat for Low Pile,880.19,5,0.0,175.6207
75,CA-2014-100024,01/30/2014,01/30/2014,Same Day,KK-10774,Kimberly King,Corporate,United States,Cincinnati,Ohio,88666,East,OFF-EN-10000822,Office Supplies,Envelopes,"Jiffy Padded Mailers, Multi-Pack",17.79,3,0.0,5.8991
76,AA-2014-100025,01/31/2014,02/07/2014,Standard Class,LT-10328,Linda Thompson,Corporate,United States,Farmington,New Mexico,52639,West,FUR-CH-10003473,Furniture,Chairs,Harbour Creations 67200 Series Folding Chair,576.79,1,0.0,95.5936
77,AA-2014-100025,01/31/2014,02/06/2014,Standard Class,CT-10024,Cynthia Thompson,Consumer,United States,Dover,Delaware,92186,East,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels by Universal,56.87,2,0.0,18.9944
78,AA-2014-100025,01/31/2014,02/02/2014,First Class,EL-10551,Elizabeth Lee,Consumer,United States,Lancaster,Pennsylvania,36469,East,TEC-PH-10001354,Technology,Phones,Samsung Galaxy S7,154.12,1,0.15,14.073
79,CA-2014-100026,01/31/2014,02/06/2014,Standard Class,JD-10178,Jeffrey Davis,Consumer,United States,New Rochelle,New York,88709,East,OFF-BI-10004738,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,989.55,5,0.0,285.6762
80,CA-2014-100026,01/31/2014,02/04/2014,Second Class,EW-10472,Emma Walker,Corporate,United States,Tacoma,Washington,58229,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,21.47,1,0.0,4.8478
81,CA-2014-100026,01/31/2014,02/06/2014,Standard Class,SB-10624,Stephanie Bell,Corporate,United States,Dover,Delaware,53899,East,OFF-ST-10001806,Office Supplies,Storage,Advantus Super Stacker Divided Storage Box,355.24,6,0.0,66.7017
82,CA-2014-100027,01/31/2014,02/07/2014,Standard Class,JR-10019,Jennifer Reed,Home Office,United States,Saginaw,Michigan,50702,Central,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings,183.18,4,0.0,56.8978
83,CA-2014-100027,02/01/2014,02/07/2014,Standard Class,DS-10141,Dorothy Scott,Consumer,United States,New York City,New York,23390,East,OFF-AP-10000304,Office Supplies,Appliances,Hoover WindTunnel 3 High Performance Pet,231.14,1,0.0,33.8808
84,CA-2014-100027,02/01/2014,02/04/2014,Second Class,DS-10520,David Scott,Consumer,United States,Detroit,Michigan,22854,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,241.53,5,0.0,74.4067
85,AA-2014-100028,02/03/2014,02/08/2014,Standard Class,AT-10609,Andrew Torres,Corporate,United States,Fort Lauderdale,Florida,38698,South,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,1182.98,1,0.0,250.1355
86,AA-2014-100028,02/03/2014,02/05/2014,First Class,ED-10494,Emma Davis,Consumer,United States,Columbus,Georgia,78256,South,FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase,1464.25,3,0.2,-2.8277
87,AA-2014-100028,02/04/2014,02/11/2014,Standard Class,SM-10682,Susan Murphy,Corporate,United States,Taylor,Michigan,69572,Central,FUR-CH-10000454,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,577.69,3,0.3,24.6887
88,CA-2014-100029,02/04/2014,02/10/2014,Standard Class,CS-10531,Charles Stewart,Corporate,United States,Jackson,Michigan,96391,Central,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,1134.79,5,0.15,108.1472
89,CA-2014-100029,02/04/2014,02/07/2014,Second Class,SR-10122,Sharon Rivera,Consumer,United States,Fresno,California,65160,West,FUR-FU-10003447,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,141.73,2,0.45,-6.4549
90,CA-2014-100029,02/04/2014,02/08/2014,Second Class,GK-10231,George King,Consumer,United States,Urbandale,Iowa,76883,Central,TEC-CO-10003723,Technology,Copiers,Sharp AL-1530CS Digital Copier,2902.22,4,0.0,619.1826
91,CA-2014-100030,02/04/2014,02/06/2014,First Class,JH-10394,Jeffrey Hill,Consumer,United States,Henderson,Kentucky,43126,South,TEC-AC-10002167,Technology,Accessories,Logitech G910 Orion Spark Mechanical Keyboard,2113.82,11,0.1,304.9592
92,CA-2014-100030,02/04/2014,02/07/2014,First Class,JT-10241,Jason Torres,Home Office,United States,Naperville,Illinois,92922,Central,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,328.22,4,0.0,82.34
93,CA-2014-100030,02/05/2014,02/11/2014,Standard Class,JW-10782,Jennifer Wilson,Consumer,United States,Bangor,Maine,10207,East,OFF-AR-10002833,Office Supplies,Art,Newell 322,45.81,3,0.1,14.7024
94,AA-2014-100031,02/05/2014,02/10/2014,Standard Class,EW-10472,Emma Walker,Corporate,United States,Troy,New York,69727,East,OFF-BI-10004738,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,36.82,1,0.0,9.8647
95,AA-2014-100031,02/05/2014,02/12/2014,Standard Class,GH-10445,Gary Hall,Corporate,United States,Providence,Rhode Island,47549,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,209.84,6,0.0,69.6624
96,AA-2014-100031,02/05/2014,02/11/2014,Standard Class,KM-10638,Kevin Morris,Consumer,United States,Westland,Michigan,18354,Central,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal,3582.41,1,0.0,388.9355
97,CA-2014-100032,02/06/2014,02/13/2014,Standard Class,SS-10292,Susan Scott,Consumer,United States,Concord,North Carolina,67745,South,OFF-EN-10004032,Office Supplies,Envelopes,Wausau Papers Astrobrights Envelopes,59.39,1,0.0,21.6834
98,CA-2014-100032,02/07/2014,02/12/2014,Standard Class,GM-10058,George Martin,Corporate,United States,Westland,Michigan,82590,Central,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",73.6,2,0.0,27.3036
99,CA-2014-100032,02/08/2014,02/08/2014,Same Day,KK-10774,Kimberly King,Corporate,United States,Fayetteville,Arkansas,89133,South,OFF-BI-10001602,Office Supplies,Binders,Wilson Jones Easy Grip Round Ring View Binder,527.42,3,0.1,98.1145
100,CA-2014-100033,02/08/2014,02/11/2014,First Class,SW-10335,Shirley Wilson,Consumer,United States,Warner Robins,Georgia,74544,South,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,231.81,4,0.0,71.8659
101,CA-2014-100033,02/08/2014,02/14/2014,Standard Class,CM-10088,Cynthia Morris,Consumer,United States,Gilbert,Arizona,27716,West,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf",225.96,1,0.0,56.8839
102,CA-2014-100033,02/08/2014,02/14/2014,Standard Class,LR-10276,Larry Rivera,Corporate,United States,Seattle,Washington,45536,West,OFF-AP-10000304,Office Supplies,Appliances,Hoover WindTunnel 3 High Performance Pet,290.52,2,0.1,43.7654
103,CA-2014-100034,02/08/2014,02/14/2014,Standard Class,DP-10184,Deborah Phillips,Corporate,United States,Fargo,North Dakota,80545,Central,TEC-PH-10001354,Technology,Phones,Samsung Galaxy S7,664.36,2,0.5,-33.354
104,CA-2014-100034,02/10/2014,02/17/2014,Standard Class,SC-10067,Stephanie Cook,Consumer,United States,Cincinnati,Ohio,95915,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings,2129.94,9,0.0,689.4197
105,CA-2014-100034,02/11/2014,02/14/2014,First Class,AE-10775,Andrew Evans,Corporate,United States,Richmond,Indiana,72284,Central,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,1327.9,6,0.15,258.4653
106,AA-2014-100035,02/11/2014,02/17/2014,Standard Class,PT-10761,Patricia Thompson,Consumer,United States,Bangor,Maine,92754,East,OFF-LA-10004099,Office Supplies,Labels,Avery Color Coding Labels,49.94,3,0.0,17.8828
107,AA-2014-100035,02/12/2014,02/19/2014,Standard Class,RA-10623,Ronald Allen,Consumer,United States,Muskogee,Oklahoma,59483,Central,OFF-BI-10001602,Office Supplies,Binders,Wilson Jones Easy Grip Round Ring View Binder,49.42,1,0.0,14.0235
108,AA-2014-100035,02/12/2014,02/17/2014,Standard Class,SK-10561,Stephanie King,Consumer,United States,Roswell,Georgia,62572,South,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,13.54,2,0.15,2.8176
109,CA-2014-100036,02/13/2014,02/15/2014,First Class,SR-10122,Sharon Rivera,Home Office,United States,Westland,Michigan,31682,Central,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,180.26,3,0.0,40.2346
110,CA-2014-100036,02/15/2014,02/20/2014,Standard Class,WN-10338,William Nelson,Consumer,United States,Caldwell,Idaho,93383,West,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" Premium Diagonal Seam Envelopes",67.93,3,0.0,26.7559
